分类: 测试频, 名称: 曼迪日本台, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 509 ms, 最高速率: 0.10 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1280x720
分类: 测试频, 名称: 动物星球(台湾), 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 477 ms, 最高速率: 0.19 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1280x720
分类: 央卫推, 名称: CCTV2, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 108 ms, 最高速率: 0.48 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 央卫推, 名称: CCTV1, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 107 ms, 最高速率: 0.58 M/s, 平均速率: 0.58 M/s, 最高分辨率: 1920x1080
分类: 测试频, 名称: 东风37台, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 央卫推, 名称: CCTV3, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 139 ms, 最高速率: 0.67 M/s, 平均速率: 0.67 M/s, 最高分辨率: 1920x1080
分类: 央卫推, 名称: CCTV4, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 110 ms, 最高速率: 0.66 M/s, 平均速率: 0.66 M/s, 最高分辨率: 1920x1080
分类: 央卫推, 名称: CCTV5+, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 111 ms, 最高速率: 0.47 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 央卫推, 名称: CCTV5, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 224 ms, 最高速率: 0.46 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 央卫推, 名称: CCTV6, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 82 ms, 最高速率: 0.66 M/s, 平均速率: 0.66 M/s, 最高分辨率: 1920x1080
分类: 央卫推, 名称: CCTV7, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 110 ms, 最高速率: 0.61 M/s, 平均速率: 0.61 M/s, 最高分辨率: 1920x1080
分类: 央卫推, 名称: CCTV8, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 128 ms, 最高速率: 0.46 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 央卫推, 名称: CCTV9, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 113 ms, 最高速率: 0.27 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576
分类: 央卫推, 名称: CCTV10, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 198 ms, 最高速率: 0.66 M/s, 平均速率: 0.66 M/s, 最高分辨率: 1920x1080
分类: 央卫推, 名称: CCTV11, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 208 ms, 最高速率: 0.64 M/s, 平均速率: 0.64 M/s, 最高分辨率: 1920x1080
分类: 央卫推, 名称: CCTV12, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 128 ms, 最高速率: 0.61 M/s, 平均速率: 0.61 M/s, 最高分辨率: 1920x1080
分类: 央卫推, 名称: CCTV13, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 188 ms, 最高速率: 0.61 M/s, 平均速率: 0.61 M/s, 最高分辨率: 1920x1080
分类: 央卫推, 名称: CCTV15, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 155 ms, 最高速率: 0.60 M/s, 平均速率: 0.60 M/s, 最高分辨率: 1920x1080
分类: 央卫推, 名称: CCTV14, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 156 ms, 最高速率: 0.61 M/s, 平均速率: 0.61 M/s, 最高分辨率: 1920x1080
分类: 央卫推, 名称: CCTV16, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 103 ms, 最高速率: 1.11 M/s, 平均速率: 1.11 M/s, 最高分辨率: 1920x1080
分类: 央卫推, 名称: CCTV17, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 134 ms, 最高速率: 0.46 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 央卫推, 名称: 动作电影, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 110 ms, 最高速率: 0.20 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1280x720
分类: 央卫推, 名称: 家庭影院, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 央卫推, 名称: 影迷电影, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 93 ms, 最高速率: 0.19 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1280x720
分类: 央卫推, 名称: CCTV4K, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 198 ms, 最高速率: 0.34 M/s, 平均速率: 0.34 M/s, 最高分辨率: 1280x720
分类: 央卫推, 名称: CCTV8K, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 236 ms, 最高速率: 0.51 M/s, 平均速率: 0.51 M/s, 最高分辨率: 1920x1080
分类: 央卫推, 名称: 第一剧场, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 155 ms, 最高速率: 0.65 M/s, 平均速率: 0.65 M/s, 最高分辨率: 1920x1080
分类: 央卫推, 名称: 风云剧场, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 113 ms, 最高速率: 0.56 M/s, 平均速率: 0.56 M/s, 最高分辨率: 1920x1080
分类: 央卫推, 名称: 怀旧剧场, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 204 ms, 最高速率: 0.54 M/s, 平均速率: 0.54 M/s, 最高分辨率: 1920x1080
分类: 央卫推, 名称: 风云音乐, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 199 ms, 最高速率: 0.55 M/s, 平均速率: 0.55 M/s, 最高分辨率: 1920x1080
分类: 央卫推, 名称: 风云足球, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 93 ms, 最高速率: 0.56 M/s, 平均速率: 0.56 M/s, 最高分辨率: 1920x1080
分类: 央卫推, 名称: 高夫网球, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 214 ms, 最高速率: 0.46 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 央卫推, 名称: 央视台球, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 94 ms, 最高速率: 0.55 M/s, 平均速率: 0.55 M/s, 最高分辨率: 1920x1080
分类: 央卫推, 名称: 世界地理, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 153 ms, 最高速率: 0.46 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 央卫推, 名称: 电视指南, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 153 ms, 最高速率: 0.60 M/s, 平均速率: 0.60 M/s, 最高分辨率: 1920x1080
分类: 央卫推, 名称: 兵器科技, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 93 ms, 最高速率: 0.58 M/s, 平均速率: 0.58 M/s, 最高分辨率: 1920x1080
分类: 央卫推, 名称: 女性时尚, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 190 ms, 最高速率: 0.49 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 央卫推, 名称: 北京卫视, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 111 ms, 最高速率: 0.64 M/s, 平均速率: 0.64 M/s, 最高分辨率: 1920x1080
分类: 央卫推, 名称: 卫生健康, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 111 ms, 最高速率: 0.52 M/s, 平均速率: 0.52 M/s, 最高分辨率: 1920x1080
分类: 央卫推, 名称: 央视精品, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 111 ms, 最高速率: 0.51 M/s, 平均速率: 0.51 M/s, 最高分辨率: 1920x1080
